1;Ritmos Quentes lda;Caminho Senhora Piedade;Bairro Além do Rio;Norte
2;Orquestra de Vila Real;Rua Fonte Nova, nº198;Almodena;Norte
3;Fernando Martins;Estrada Nacional 3;Santarém;Centro
4;Escola de Música O Belo Canto;Rua das Filarmónicas, 2345;Bragança;Norte
5;Gosto pela Música;Praceta Padre Chiquito;Santarém;Centro
6;Hora a Hora lda;Travessa 25 de Abril, nº123;Quarteira;Sul
7;Sons e Ritmos;Quinta da Balaia;Albufeira;Sul
8;Luz e Som lda;Rua Almirante Pinheiro de Azevedo;Ameijeira;Sul
9;Dina Sofia de Almeida;Rua Dona Mariana de Lencastre;Bairro da Raposeira;Centro
10;Eira e Beira lda;Rua Dom Francisco de Almeida;Abrantes;Centro
